# YEA	MON	DAY	NAME

 1839	3	16	Sully-Prud'Homme Armand
 1839	5	21	Glatigny Joseph
 1839	5	22	Alhaiza Jean
 1839	7	19	Gebhart Emile
 1839	8	9	Paris Gaston
 1839	12	18	Ribot Theodule
 1840	4	2	Zola Emile
 1840	5	13	Daudet Alphonse
 1840	10	10	Pouvillon Emile
 1840	11	10	Velstra Tjeerd
 1840	11	25	Verriest Hugo
 1840	12	3	Claretie Jules
 1841	1	21	Schure Edouard
 1841	5	7	Le Bon Gustave
 1841	5	21	Mendes Catulle
 1842	1	26	Coppee Francois
 1842	2	12	Leroy-Beaulieu Anatole
 1842	2	26	Flammarion Camille
 1842	3	18	Mallarme Stephane
 1842	8	13	Sorel Albert
 1842	10	1	Cros Charles
 1842	12	17	Gittens Frans
 1842	12	17	Lavisse Ernest
 1843	6	26	Arene Paul
 1843	9	21	Haussonville Gabriel
 1843	10	12	Hoorde Joseph
 1844	3	23	Lemonnier Camille
 1844	3	30	Verlaine Paul
 1844	4	16	France Anatole
 1844	5	3	Drumont Edouard
 1844	5	23	Espinas Alfred
 1845	7	18	Corbiere Tristan
 1845	7	28	Boutroux Emile
 1846	2	14	Sabbe Julius
 1846	4	1	Hendrikx August
 1846	6	29	La Gorce Pierre
 1846	7	11	Bloy Leon
 1846	9	2	Deroulede Paul
 1846	9	16	Rabier Jean
 1846	11	16	Boucherij Jan
 1846	12	29	Rollinat Maurice
 1847	3	18	Coppin Jose
 1847	5	10	Buyst Leonard
 1847	6	16	Alexis Paul
 1847	6	28	Gide Charles
 1847	10	4	Boussenard Louis
 1847	11	2	Sorel Georges
 1847	12	17	Faguet Emile
 1848	1	20	Hoste Julius
 1848	2	4	Aicard Jean
 1848	2	5	Huymans Georges
 1848	2	16	Mirbeau Octave
 1848	2	25	Vogüe Eugene
 1848	4	9	Bisson Alexandre
 1848	6	13	Huygens Cornelie
 1848	6	29	Brochard Victor
 1848	7	1	Angellier Auguste
 1848	12	30	Ponchon Raoul
 1849	2	4	Richepin Jean
 1849	5	20	Porto-Riche Georges
 1849	7	18	Brunetiere Ferdinand
 1849	7	19	Aulard Francois
 1849	11	22	Dunan Charles
 1850	1	14	Loti Pierre
 1850	5	10	Stijns Reimond
 1850	6	24	Cortvrient Alfons
 1850	8	5	De Maupassant Guy
 1851	2	3	Plessis Frederic
 1851	5	6	Bruant Aristide
 1851	7	31	Nouveau Germain
 1851	10	7	Solvay Lucien
 1851	12	19	Neve Paul
 1852	3	26	Bourges Elemir
 1852	9	2	Bourget Paul
 1852	11	24	Coopman Theo
 1853	4	27	Lemaitre Jules
 1853	9	6	Lattin Gustaaf
 1853	12	18	Veravaine Georges
 1853	12	26	Bazin Rene
 1854	2	14	Doorslaer Hector
 1854	4	16	Tailhade Laurent
 1854	4	29	Poincare Henri
 1854	5	27	Eekhoud Georges
 1854	6	10	Curel Francois
 1854	10	8	Delamontagne Victor
 1854	10	20	Allais Alphonse
 1854	10	20	Rimbaud Arthur
 1854	10	28	Guyau Marie
 1855	5	11	Gillet Georges
 1855	5	21	Verhaeren Emile
 1855	7	16	Rodenbach Georges
 1855	8	9	Lorrain Jean
 1855	10	7	Lenotre Georges
 1856	4	21	Paulhan Frederic
 1856	5	25	Christophe (Colomb)
 1856	7	22	Hamelin Octave
 1856	8	6	Tiere Nestor
 1856	10	27	Hannequin Arthur
 1856	10	27	Rodenbach Albrecht
 1856	12	21	Steinmetz Anna
 1857	2	25	Vermandere Rene
 1857	2	28	Loisy Alfred
 1857	4	15	De Mont Pol
 1857	6	2	Vervarcke Camiel
 1857	9	2	Hervieu Paul
 1857	11	25	Capus Alfred
 1858	1	7	Gilkin Yvan
 1858	3	28	Peladan Josephin
 1858	4	3	Samain Albert
 1858	4	4	Gourmont Remy
 1858	4	15	Dürkheim Emile
 1858	6	25	Courteline Georges
 1858	8	10	Milhaud Gaston
 1859	2	13	Goes Frank
 1859	3	15	Jullian Camille
 1859	4	2	Le Braz Anatole
 1859	4	9	Lavedan Henri
 1859	8	7	Belot Gustave
 1859	9	3	Jaures Jean
 1859	9	20	Buysse Cyriel
 1859	12	15	Nolhac Pierre
 1859	12	22	Kahn Gustave
 1860	2	10	Bernard Valere
 1860	2	11	Rachilde Marguerite
 1860	3	6	Doumic Rene
 1860	10	5	Laberthonniere Lucien
 1860	12	9	Ancey Georges
 1861	1	1	Haugen Jef
 1861	1	15	Saint-Pol Roux
 1861	2	3	Courouble Leopold
 1861	3	18	Descaves Lucien
 1861	3	31	Rauh Frederic
 1861	4	19	Vermeulen Edward
 1861	6	10	Duhem Pierre
 1861	10	21	Lerberghe Charles
 1861	11	2	Blondel Maurice
 1861	11	10	Dujardin Edouard
 1861	12	8	Scheltjens Lodewijk
