# YEA	MON	DAY	NAME

 1813	7	30	Debrou Toussaint
 1813	8	16	Molewater Jan
 1813	8	21	Stas Jean
 1813	8	26	Behier Louis
 1813	10	16	Vigla Eugene
 1813	11	7	Fauvel Sulpice
 1813	11	30	Chatin Gaspard
 1814	2	22	Fremy Edmond
 1814	2	25	Hanot Gaspard
 1814	4	3	Duche Emile
 1814	5	25	Bourdon Alexis
 1814	6	4	Bardinet Alphonse
 1814	6	25	Daubree Gabriel
 1814	7	11	Melsens Louis
 1814	9	1	Barallier Auguste
 1814	9	12	Herrgott Francois
 1814	10	1	Faye Herve
 1814	10	7	Filhol Edouard
 1814	10	12	Tresca Henri
 1814	11	2	Kempen Etienne
 1814	11	15	Meynne Armand
 1814	12	20	La Gournerie Jules
 1815	2	9	Bertherand Alphonse
 1815	2	18	Liagre Jean
 1815	3	2	Buignet Henri
 1815	3	20	Poelman Charles
 1815	3	29	Oulmont Nathan
 1815	7	10	Gratiolet Pierre
 1815	8	14	Naudin Charles
 1815	8	21	Hirn Gustave
 1815	8	28	Parise Jean
 1815	9	12	Tulasne Louis
 1815	9	24	Durand-Fardel Charles
 1815	10	3	Fredericq Louis
 1815	11	12	Bougard J
 1815	12	15	Hillairet Jean
 1816	1	28	Pilat Eugene
 1816	3	2	Lambotte Henri
 1816	3	16	Richet Alfred
 1816	5	31	Giraud-Teulon Marc
 1816	7	18	Loir Jean
 1816	7	28	Roussel Theophile
 1816	7	30	Seux Louis
 1816	8	9	Guerin Alphonse
 1816	8	21	Gerhardt Charles
 1816	8	26	Marchand Eugene
 1816	9	5	Lasegue Ernest
 1816	10	15	Bechamps Pierre
 1816	10	15	Dupuy Lome Henri
 1816	10	17	Personne Jacques
 1816	10	31	Reynal Jean
 1816	12	8	Bourguet Eugene
 1816	12	25	Lallemand Alexandre
 1817	1	4	Borlee Josef
 1817	2	3	Delesse Achille
 1817	3	7	Thiry Jean
 1817	5	11	Belpaire Alphonse
 1817	5	21	Riggenbach Nicolas
 1817	7	12	Desains Paul
 1817	8	23	Chereau Achille
 1817	8	27	Bergeron Jules
 1817	10	10	Buys-Ballot Christophorus
 1817	11	26	Wurtz Adolphe
 1818	1	8	Trecul Auguste
 1818	1	24	Burdel Simon
 1818	1	28	Louyet Paulin
 1818	2	6	See Germain
 1818	3	10	Tardieu Ambroise
 1818	5	27	Donders Cornelis
 1818	8	3	Delpech Auguste
 1818	9	4	Hervieux Jacques
 1818	10	1	Bruck Nicolas
 1818	10	11	Cloquet Louis
 1818	11	22	Glenard Alexandre
 1818	11	23	Levieux Jean
 1819	1	8	Montigny Marie
 1819	1	9	Kupfferschlaeger Isidore
 1819	1	21	Bernutz Gustave
 1819	2	7	Morvan Augustin
 1819	3	3	Gille Norbert
 1819	3	11	Fays Francois
 1819	4	15	Laussedat Aime
 1819	5	20	Boutet Antoine
 1819	7	22	Cosson Ernest
 1819	7	25	Lefort Jules
 1819	8	16	Merget Antoine
 1819	8	30	Serret Joseph
 1819	9	7	Bouquet Jean
 1819	9	16	Desgranges Antoine
 1819	9	23	Fizeau Armand
 1819	10	1	Herard Hippolyte
 1819	10	6	Themard Arnould
 1819	10	30	Rochard Jules
 1819	12	22	Bonnet Pierre
 1819	12	22	Penard Louis
 1820	1	18	Mares Henri
 1820	2	3	Gintrac Henri
 1820	3	24	Becquerel Alexandre
 1820	4	16	Puiseux Victor
 1820	5	1	Legouest Antoine
 1820	7	3	Jonquieres Ernest
 1820	8	29	Valerius Hubert
 1820	9	10	Baillet Casimir
 1820	10	1	Blanche Antoine
 1820	10	7	Houzeau Charles
 1820	10	17	Roche Edouard
 1820	11	26	Regnaud Jules
 1820	11	26	Warlomont Evariste
 1821	1	18	Moutard-Martin Eugene
 1821	3	6	Moncel Theodore
 1821	3	17	Den Broeck Victor
 1821	3	20	Lefebvre Ferdinand
 1821	4	4	Gubler Adolphe
 1821	4	20	Corput Bernard
 1821	5	21	Phillips Edouard
 1821	5	25	Clos Dominique
 1821	6	4	Robin Charles
 1821	6	6	Colnet Huart Alexandre
 1821	7	31	Mangon Charles
 1821	9	20	Pomel Auguste
 1822	1	18	Chancel Gustave
 1822	1	31	Donny Francois
 1822	3	4	Lissajous Jules
 1822	3	22	Bussy Louis
 1822	3	26	Lunier Ludger
 1822	4	2	Bouis Jules
 1822	4	25	Willems Louis
 1822	5	3	Cousot Theodule
 1822	5	3	Haan David
 1822	5	19	Pagnoul Aime
 1822	5	22	Farge Emile
 1822	5	28	Azam Charles
 1822	6	14	Blot Hyppolite
 1822	8	9	Moleschott Jacob
 1822	9	8	Marquez Pierre
 1822	10	9	Bresse Jacques
 1822	10	28	Mordret Ambroise
 1822	11	13	Hannon Joseph
 1822	12	16	Duclos Michel
 1822	12	24	Hermite Charles
 1822	12	27	Pasteur Louis
 1823	3	12	Fonssagrives Jean
 1823	3	21	Planchon Jules
 1823	5	18	Chauffard Emile
 1823	7	28	Saporta Gaston
 1823	7	30	Lory Charles
#此無資料
 1823	8	31	Mignot Antoine
 1823	10	9	Ladrey Claude
 1823	11	25	Follin Francois
 1823	12	21	Fabre Jean
 1824	1	21	Denuce Jean
 1824	1	23	Croco Jean
 1824	2	22	Janssen Pierre
 1824	2	27	Notta Alphonse
 1824	4	21	Chapuis Felicien
 1824	4	27	Mertens Jean
 1824	6	8	Udekem Guertechin Jules
 1824	6	28	Broca Pierre
 1824	7	9	Schloesing Theophile
 1824	8	19	Rouget Charles
 1824	10	15	Caventou Eugene
 1824	10	18	Depaire Jean
 1824	11	5	Peter Charles
 1824	11	12	Rollet Joseph
 1825	1	7	Bribosia Francois
 1825	1	10	Sirodot Simon
 1825	2	25	Briart Alphonse
 1825	3	9	Tarlier Jules
 1825	3	14	Leudet Theodore
 1825	3	26	Mesnet Urbain
 1825	5	12	Colin Gabriel
 1825	8	7	Quetelet Ernst
 1825	8	24	Laboulbene Alexandre
 1825	10	13	Le Roy Mericourt Alfred
 1825	10	17	Troost Louis
 1825	10	30	Coemans Eugene
 1825	11	29	Charcot Jean
 1825	12	29	Hyernaux Leon
 1826	1	5	Vulpian Edme
 1826	1	13	Vedrenes Jean
 1826	1	31	Dijck Pieter
 1826	3	2	Contamine Jules
 1826	3	8	Dumont-Pallier Victor
 1826	4	4	Gramme Zenobe
 1826	4	14	Perrin Maurice
 1826	6	4	Sire Georges
 1826	6	26	Bastian Adolf
 1826	8	8	Surmay Charles
 1826	9	7	David Armand
 1826	9	25	Widal Henri
 1826	11	25	Willieme Ferdinand
 1826	12	2	Dewalque Gustave
 1826	12	2	Vlemincky Victor
 1827	1	24	Villemin Jean
 1827	2	18	See Marc
 1827	2	22	Candeze Ernest
 1827	3	20	Spengler Alexander
 1827	4	6	Vallee-Poussin Charles
 1827	4	19	Hambursin Louis
 1827	4	25	Moor Victor
 1827	5	29	Bouquet Grye Anatole
 1827	7	26	Debray Henri
 1827	8	18	Lagneau Gustave
 1827	9	3	Leblanc Louis
 1827	9	10	Wasseige Adolphe
 1827	9	15	Gaudry Albert
 1827	11	1	Doyon Pierre
 1827	11	6	Duplouy Charles
 1827	11	9	Wolf Charles
 1827	11	21	Chauveau Auguste
 1827	11	25	Riembault Alfred
 1828	1	6	Boudier Jean
 1828	1	9	Hicguet Dieudonne
 1828	1	16	Megnin Jean
 1828	1	20	Souillart Cyrille
 1828	1	23	Jacquemin Eugene
 1828	1	27	Resal Henri
 1828	2	10	Gallard Theophile
 1828	2	15	Ore Pierre
 1828	4	7	Delore Xavier
 1828	4	29	Tarnier Etienne
 1828	5	15	Trastour Etienne
 1828	6	21	Fouque Ferdinand
 1828	8	13	Trelat Ulysse
 1828	8	16	Poincare Emile
 1828	8	17	Luys Jules
 1828	9	2	Bornet Edouard
 1828	9	2	Kuborn Hyacinthe
 1828	9	21	Desnos Louis
 1828	11	9	Paulet Vincent
 1828	11	14	Freycinet Charles
 1829	1	11	Prillieux Edouard
 1829	2	3	Riche Alfred
 1829	2	6	Bambeke Charles
 1829	2	13	Reboul Edmond
 1829	3	23	Houzeau Auguste
 1829	4	9	Sacre Joseph
 1829	5	24	Dauge Felix
 1829	7	30	Manen Leopold
 1829	8	14	Bucquoy Jules
 1829	10	17	Tillot Emile
 1829	10	20	Bazin Henri
 1829	11	10	Parrot Joseph
 1829	11	16	Bommer Jean
 1829	12	5	Lefort Leon
 1829	12	23	Schutzenberger Paul
 1830	1	7	Schlagdenhauffen Charles
 1830	3	2	Le Dieu Alfred
 1830	3	5	Marey Etienne
 1830	3	12	Laennec Theophile
 1830	4	16	Colin Leon
 1830	4	16	Legrand-Dusaulle Henri
 1830	4	19	Deherain Pierre
 1830	5	10	Raoult Francois
 1830	5	20	Bureau Louis
 1830	5	26	Tisserand Eugene
 1830	6	24	Mahe Jean
 1830	7	2	Tirifahy Sebastien
 1830	9	16	Arnould Jules
 1830	9	27	Henrard Paul
 1830	10	18	Adan Emile
 1830	10	27	Boudet Marie
 1830	10	30	Crepin Francois
 1830	11	3	Bemmelen Jacob
 1830	11	29	Pean Jules
 1830	12	3	Ollier Leopold
 1830	12	4	Laborde Jean
 1830	12	7	Huber Johann
 1830	12	22	Girard Alfred
 1831	1	30	Terquem Alfred
 1831	2	15	Gros Jean
 1831	2	22	Siredey Francois
 1831	3	29	Cardarelli Antonio
 1831	4	7	Grinten Lodewijk
 1831	4	20	Besnier Ernest
 1831	5	20	Rehn Johann
 1831	9	8	Wetter Auguste
 1831	9	23	Janssens Eugene
 1831	11	17	Laroyenne Lucien
 1832	1	16	Fede Francesco
 1832	1	17	Barnsby Robert
