# 2154 French Physicians, Military Men and Executives. Serie E, volume 1 : from 1901 to 1963 
# http://cura.free.fr/gauq/902gdE1.html
# 沒有地點的經緯度！
# NUM	  PRO      NAME              	             DAY   MON   YEA     H        CITY                     COD

0080    MI       BARTHELEMY Raymond              10    03    1910    06:00    Azerailles                54
0081    MI       BARTHES Louis                   05    05    1918    06:00    St-Macaire                33
0082    EX       BARTOLI Georges                 23    05    1926    06:00    Marseille                 13
0083    PH     + BARUK Henri                     15    08    1897    02:00    St-Avé                    56
0084    PH       BARUT Charles                   17    06    1923    01:00    Chambéry                  73
0085    MI       BASSET Jacques                  13    04    1905    04:00    Mauriac                   15
0086    EX       BASSINET André                  25    02    1899    03:00    Réalmont                  81
0087    EX       BATAILLE Robert                 30    05    1921    08:00    Perpignan                 66
0088    MI       BATLLE Sébastien                19    03    1914    12:00    Llupia                    66
0089    PH       BATTEUR Henri                   10    11    1910    03:00    Roubaix                   59
0090    PH       BAUCHOT Roland                  24    02    1929    06:15    Les Lilas                 93
0091    EX       BAUDOT Jean Claude              23    06    1934    19:00    Bar-le-Duc                55
0092    EX       BAUDRIER Jacqueline (VIBERT)    16    03    1922    20:30    Beaufai                   61
0093    PH       BAULIEU Etienne                 12    12    1926    04:30    Strasbourg                67
0094    MI     L BAUMEL Jacques                  06    03    1918    16:00    Marseille                 13
0095    EX       BAVASTRO Michel                 28    12    1906    15:30    Nice                      06
0096    EX       BAYARD Gaston                   19    01    1914    18:00    Soubran                   17
0097    MI     L BAYROU Maurice                  02    03    1905    08:00    Lanta                     31
0098    MI       BAZAUGOUR Jean                  14    05    1914    03:00    Bassillac                 24
0099    MI       BEAUFRE André                   25    01    1902    04:30    Neuilly sur Seine         92
0100    EX       BEAUMONT Claude (SUBTIL de)     25    11    1909    22:00    Brigueil                  18
0101    MI       BEAUVALLET Jacques              13    09    1909    12:25    Dieppe                    76
0102    PH       BEDRINE Henri Louis             17    01    1912    13:00    Calais                    62
0103    EX       BEFFARA Michel                  02    09    1920    07:00    Périgueux                 24
0104    MI       BEGNI Paul                      29    02    1920    01:00    Menton                    06
0105    EX       BEGOUIN Maurice                 03    11    1899    01:00    Bordeaux                  33
0106    EX       BELMONT Henry                   06    12    1912    10:00    Besançon                  25
0107    MI       BENARD Roger                    30    05    1903    22:00    Romorantin                41
0108    EX       BENAZE François (du HIL de)     29    03    1929    07:30    Chartres                  28
0109    PH     - BENNER Harard                   29    08    1917    01:00    Mulhouse                  68
0110    EX       BENOIT D'AZY Charles            30    10    1897    09:00    La Seyne                  83
0111    PH     - BENOIT Frédéric                 06    07    1910    00:30    Port/Saone                70
0112    PH       BENOIT Pierre                   21    08    1914    05:00    Bordeaux                  33
0113    PH       BENSOUSSAN Pierre               01    06    1921    04:00    St-Maur                   94
0114    PH       BERA Jean                       01    09    1901    04:00    Walincourt                59
0115    MI       BERANGER François               25    03    1909    16:00    Versailles                78
0116    EX       BERGEOT Paul                    10    05    1930    07:00    Ay                        51
0117    PH       BERGERARD Joseph                23    02    1921    14:00    Fossé                     41
0118    PH       BERGIS René                     10    11    1890    23:45    Boulogne-sur-Seine        92
0119    PH       BERNARD Adolphe                 23    03    1886    01:00    Sachin en Artois          62
0120    PH       BERNARD Etienna                 11    05    1900    19:00    Arras                     62
0121    PH       BERNARDIN Charles               22    10    1906    17:00    Toulouse                  31
0122    MI       BERNARDY Guy-Jean               07    03    1926    11:00    Clermond-Ferrand          63
0123    MI       BERCHOUX Henry de               03    09    1894    13:00    St Symphorien de Lay      42
0124    MI       BERNACHOT Jean                  23    05    1907    07:00    Montceau les Mines        71
0125    EX       BERNHEIM André                  31    07    1899    08:30    Nogent sur Marne          94
0126    PH       BERNIER Jean-Jacques            22    01    1921    01:00    Gros-Theil                27
0127    MI       BERNON Paul                     23    07    1916    15:00    Chambéry                  73
0128    PH       BERT Jean-Marie                 29    06    1904    02:00    Bonnieux                  84
0129    MI     L BERTAUX Pierre                  08    10    1907    15:00    Lyon 3ème                 69
0130    EX       BERTHAULT Raymond               27    03    1901    03:00    Béré                      37
0131    PH       BERTHET Etienne                 30    03    1909    03:00    Grenoble                  38
0132    EX       BERTHIER Guy                    05    04    1923    01:00    Arles                     13
0133    EX       BERTHIER Jean                   18    03    1921    22:15    Nogent sur Oise           60
0134    EX       BERTIN Albert                   22    05    1914    07:00    Villeurbanne              69
0135    EX       BERTIN Jean                     05    09    1917    18:30    Druyes                    89
0136    PH       BERTRAND Edmond                 24    01    1928    17:00    St-Paulien                43
0137    PH     - BERTRAND Pierre                 02    02    1925    05:00    Thierville                55
0138    MI       BESSON Jean                     17    03    1904    01:45    Annecy                    74
0139    EX       BESSON Pierre Marie             05    07    1904    10:00    Montélimar                26
0140    PH       BEUTTER Charles                 19    08    1879    05:30    St Etienne                42
0141    PH       BEYER Paul                      01    01    1914    02:00    Eguisheim                 68
0142    EX       BEYLER André                    14    07    1916    10:00    Malzéville                54
0143    EX       BEYTOUT Pierre                  20    02    1918    06:00    Marseille                 13
0144    PH     - BIANQUIS Pierre                 27    10    1893    05:00    Rouen                     76
0145    MI       BIARD André                     23    07    1918    10:15    Falaise                   14
0146    PH     - BICHAT Jean                     04    02    1909    22:00    Lunéville                 54
0147    MI     L BIDAULT Georges                 05    10    1899    15:00    Moulins                   03
0148    PH       BIDAULT Robert                  18    03    1894    12:00    Verdun sur Doubs          71
0149    MI       BIDAUT Jean                     12    07    1919    02:30    Yzeure                    03
0150    MI     * BIENAIME Amédée                 26    02    1843    11:00    Paris                     75
0151    EX       BIGANT Jean-Baptiste            29    06    1924    14:00    Brest                     29
0152    PH       BILLAUDET Georges               11    02    1877    16:00    Migé                      89
0153    PH       BILQUEZ André                   23    07    1920    22:45    Bains les Bains           88
0154    MI     L BINOCHE François                23    03    1911    06:30    Paris 6ème                75
0155    PH       BIZARD Gaston                   09    09    1903    22:30    Lille                     59
0156    MI       BLAISE Léon                     14    06    1877    16:00    Coulommiers               77
0157    PH       BLAISET Claude                  05    04    1931    06:00    Rouen                     76
0158    PH     + BLAIZOT Jean                    14    01    1915    17:00    Mauvezin                  32
0159    PH       BLAMOUTIER Pierre               08    06    1891    10:00    Soissons                  02
0160    PH       BLANC Camille                   21    09    1901    13:00    Tarascon/Ariège           09
0161    PH     - BLANC Jacques                   21    10    1939    05:00    Rodez                     12
0162    PH       BLANC Michel                    27    06    1915    01:00    St Martin en Vercors      26
0163    PH       BLANC Paul                      31    07    1906    15:00    Espalion                  12
0164    PH       BLANC Raymond                   19    08    1917    04:00    Decazeville               12
0165    MI       BLANCHARD André                 03    10    1906    12:30    Saumur                    49
0166    MI       BLANCHARD Pierre                01    05    1909    20:30    Saumur                    49
0167    PH       BLANCHER Gabriel                24    12    1923    16:00    La Rochefoucauld          16
0168    PH       BLANQUET Paul                   19    06    1919    23:30    Clermont-Ferrand          63
0169    EX       BLESTEAU Maurice                02    01    1910    09:30    Maignelay-Montigny        60
0170    EX       BLEUSTEIN Jean                  05    02    1938    05:45    Neuilly sur Seine         75
0171    EX       BLEUSTEIN-BLANCHET Marcel       21    08    1906    01:00    Enghein les Bains         75
0172    PH       BLUM Eugène                     08    12    1911    06:00    Diemeringen               67
0173    PH       BLUM Michel-André               13    08    1910    15:00    Thann                     68
0174    EX       BOBET Louis (dit Louison)       12    03    1925    23:00    St Méen le Grand          35
0175    EX       BOCUSE Paul                     11    02    1926    16:00    Collonges au Mont d'Or    69
0176    MI       BOE Pierre                      24    03    1912    11:00    Castres                   81
0177    EX       BOEUF Pierre                    26    07    1907    21:00    Chauriat                  63
0178    EX       BOIDIN André                    03    08    1929    01:00    Marcq en Baroeuil         59
