# 新版 http://cura.free.fr/gauq/902gdD9a.html
# 舊版 http://cura.free.fr/gauq/21gdD9a.txt
# Murderer 殺人犯

# NUM	SEX     DAY	MON	YEA	H	MN	SEC	TZ      LAT	LON     COD

92	M	11	5	1862	21	50	48	0	49N54	2E18	80
93	M	16	5	1862	15	54	16	0	44N27	1E26	46
94	M	3	6	1862	15	50	40	0	48N50	2E20	75
95	M	12	7	1862	9	47	40	0	50N39	3E 5	59
96	M	15	11	1862	6	55	40	0	49N26	1E 5	76
97	M	28	12	1862	0	50	40	0	48N50	2E20	75
98	M	2	1	1863	11	45	40	0	47N48	3E35	89
99	M	22	7	1863	6	10	56	0	47N40	2W44	56
100	M	29	8	1863	13	52	24	0	47N54	1E54	45
101	M	21	10	1863	8	51	28	0	48N50	2E 8	78
102	M	5	11	1863	21	20	40	0	48N50	2E20	75
103	M	8	3	1864	20	49	20	0	48N33	2E40	77
104	M	12	3	1864	11	47	24	0	46N59	3E 9	58
105	M	23	3	1864	16	43	40	0	48N18	4E 5	10
106	M	12	4	1864	2	50	48	0	49N54	2E18	80
107	M	8	6	1864	1	50	40	0	48N50	2E20	75
108	M	3	7	1864	3	51	40	0	49N26	2E 5	60
109	F	22	7	1864	3	47	40	0	45N47	3E 5	63
110	M	10	9	1864	16	50	40	0	48N50	2E20	75
111	M	14	10	1864	5	20	40	0	48N50	2E20	75
112	M	5	1	1865	3	50	40	0	48N50	2E20	75
113	M	9	1	1865	9	20	40	0	48N50	2E20	75
114	F	16	1	1865	19	42	32	0	48N57	4E22	51
115	M	13	3	1865	6	50	40	0	48N50	2E20	75
116	M	12	7	1865	19	49	44	0	44N21	2E34	12
117	M	27	10	1865	1	29	0	0	48N35	7E45	67
118	M	22	2	1866	0	39	28	0	48N 7	5E 8	52
119	M	27	2	1866	0	50	40	0	48N50	2E20	75
120	M	10	3	1866	23	2	16	0	44N50	0W34	33
121	M	22	5	1866	4	50	40	0	48N50	2E20	75
122	M	5	6	1866	18	50	40	0	48N50	2E20	75
123	F	5	7	1866	17	42	36	0	43N51	4E21	30
124	M	17	7	1866	15	43	40	0	48N18	4E 5	10
125	M	11	8	1866	19	42	32	0	48N57	4E22	51
126	M	13	12	1866	11	46	40	0	46N34	3E20	03
127	M	30	1	1867	12	49	44	0	44N21	2E34	12
128	M	8	4	1867	6	57	28	0	44N12	0E38	47
129	M	10	4	1867	3	35	16	0	49N 7	6E11	57
130	M	16	7	1867	1	41	36	0	44N44	4E36	07
131	M	31	8	1867	1	50	40	0	48N50	2E20	75
132	M	18	10	1867	4	1	48	0	46N19	0W27	79
133	F	16	2	1868	22	50	40	0	48N50	2E20	75
134	M	19	2	1868	3	50	40	0	48N50	2E20	75
135	M	19	3	1868	9	40	56	0	47N40	2W44	56
