# YEA	MON	DAY	NAME

 1826	11	12	Guertimont Henri
 1827	1	1	Quentin Alfred
 1827	2	1	Canus Etienne
 1827	3	5	Jonas Emile
 1827	4	22	Morel Antoine
 1827	5	10	Klemmer Alexandre
 1827	5	13	Roth Antoine
 1827	7	24	Scola Jean
 1827	8	1	Robilliard Victor
 1827	8	4	Mangeant Jean
 1827	8	12	Lassagne Hippolyte
 1827	8	16	Leroy Adolphe
 1827	8	20	Duprato Jules
 1827	10	28	Lefebvre Jules
 1827	11	24	Chatteleyn Desire
 1827	12	14	Bruyant Antoine
 1828	1	26	Denery Simon
 1828	3	3	Taite Pierre
 1828	3	19	Bouche Jean
 1828	4	14	Hubant Charles
 1828	5	1	Vechot Antoine
 1828	5	27	Pierret Jules
 1828	5	29	Guyard Nicolas
 1828	6	3	Poise Jean
 1828	6	7	Barthe Gratien
 1828	6	18	Bardin Claude
 1828	6	26	Blanc Jean
 1828	7	14	Mimard Paul
 1828	11	25	Antony-Thouret Auguste
 1828	11	28	Tranchepin Alfred
 1829	1	9	Leduc Jules
 1829	2	12	Cohen Leonce
 1829	2	28	Freminet Jules
 1829	5	11	Carro Emmanuel
 1829	6	10	Pilliard Jean
 1829	6	11	Poussard Horace
 1829	7	20	Chalory Marie
 1829	7	26	Bacquart Paul
 1829	8	9	Turc Emile
 1829	8	15	Baguenier-Desormeaux Henri
 1829	8	15	Nivelet Victor
 1829	8	17	Ducor Edmond
 1829	9	23	Maillart Henri
 1829	10	26	Deville Bichot Pierre
 1829	11	4	Berthelemy Felix
 1829	11	14	Suquet Pierre
 1829	11	22	Vient Hubert
 1829	12	20	Burthez Victor
 1829	12	21	Mouturat Joseph
 1830	1	15	Faure Jean
 1830	2	13	Rose Chrysogene
 1830	2	16	Durand Emile
 1830	3	11	Pares Philippe
 1830	3	14	Cheri Victor
 1830	3	21	Sibillot Charles
 1830	3	28	Altes Ernest
 1830	5	6	Dubois Christophe
 1830	5	22	Bonnier Jules
 1830	5	29	Chavassieux Maximin
 1830	6	2	Metra Olivier
 1830	6	25	Erlanger Jules
 1830	7	11	Garcin Jules
 1830	10	20	Coyon Antoine
 1830	11	23	Mangeon Francois
 1830	11	29	Brivady Auguste
 1830	12	5	Ferrand Hippolythe
 1830	12	20	Lerouge Alfred
 1831	1	4	Yosse Paul
 1831	1	22	Delafontaine Joseph
 1831	2	7	Cherouvrier Edmond
 1831	2	22	Obscur Victor
 1831	2	27	Dimier Jacques
 1831	3	26	Bertrand Louis
 1831	4	4	Laucien Zephirin
 1831	4	23	Gout Jean
 1831	5	29	Thomas Louis
 1831	6	22	Muller Bernard
 1831	8	3	Giroz Edmond
 1831	8	29	Funffrock Jean
 1831	10	10	Stupuy Henri
 1831	11	5	Bernard Alfred
 1831	11	30	Ferret Edouard
 1831	12	21	Mauprety Joseph
 1832	1	13	Massat Francois
 1832	1	18	Girard Louis
 1832	2	29	Lede Henri
 1832	4	18	Holtzinger Simon
 1832	6	2	Colin Charles
 1832	6	3	Lecocq Alexandre
 1832	6	5	Lallement Joseph
 1832	6	21	Gouirand Jean
 1832	9	3	Limberger Antony
 1832	10	2	Bourdeau Charles
 1832	12	26	Jacquard Louis
 1832	12	27	Sauret Hippolyte
 1833	1	9	Demersseman Jules
 1833	1	20	Gibert Jean
 1833	2	5	Liouville Francois
 1833	2	23	Delaruelle Pierre
 1833	3	15	Degaugue Frederic
 1833	3	19	Grisey Francois
 1833	3	24	Villaufret Francois
 1833	3	25	Goecke Louis
 1833	4	9	Daynes Barthelemy
 1833	7	4	Vast Eugene
 1833	7	8	Leguay Jean
 1833	7	15	Dupeigne Charles
 1833	8	11	Reynier Leon
 1833	8	18	Carmont Armand
 1833	8	29	Robert Du Botneau Charles
 1833	10	23	Aubert Andre
 1833	10	23	Maresse Demay Raphael
 1833	12	13	Thurner Theodore
 1833	12	17	Rass Celestin
 1834	1	2	Maury Jacques
 1834	1	10	Cremnitz Alfred
 1834	1	20	Salome Theodore
 1834	1	21	Noel Clement
 1834	1	26	Jalabert Justin
 1834	2	7	Dufour Francois
 1834	3	8	Geraud Jean
 1834	3	26	Bouffard Jean
 1834	3	27	Niedhardt Joseph
 1834	4	3	Guyon Emile
 1834	4	4	Certain Pierre
 1834	4	17	Simon Simon
 1834	5	13	Flahaut Jules
 1834	5	17	Astoin Jean
 1834	5	27	Paulin Edouard
 1834	6	2	Leliegeois Nicolas
 1834	7	8	Thomas Jouan
 1834	8	18	Faures Jean
 1834	10	25	Duhot Charles
 1834	11	6	Dupire Amedee
 1834	12	28	Martin Adolphe
 1835	2	2	Chambry Marie
 1835	2	12	Munier Jean
 1835	2	26	Danhauser Adolphe
 1835	3	11	Barbu Pierre
 1835	3	15	Gaimard Joseph
 1835	3	30	Bleger Adolphe
 1835	4	3	Nortier Pierre
 1835	4	22	Becquet Charles
 1835	5	3	Guichard Philippe
 1835	5	14	Leclerc Louis
 1835	6	9	Pignant Jules
 1835	6	12	Feline Jacques
 1835	6	29	Lingard Emile
 1835	7	14	Nivoix Louis
 1835	7	17	Thouvenel Jean
 1835	7	23	Rousseau Denis
 1835	7	24	Dufils Jean
 1835	8	9	Pugenc Charles
 1835	8	11	Grison Leon
 1835	8	15	Chambon Charles
 1835	8	16	Martin Louis
 1835	8	17	Dapremont Nicaise
 1835	9	2	Amann Henry
 1835	9	18	Beaurain Mathieu
 1835	10	12	Felgas Joseph
 1835	10	18	Elie Auguste
 1835	10	22	Grand Maire Charles
 1835	11	23	Reynaud Joseph
 1835	11	26	Leroy Jules
 1835	11	29	Raimond Edouard
 1835	12	17	Boymond Arthur
 1835	12	22	Givord Pierre
 1836	1	1	Bernier Louis
 1836	1	19	Serre Joseph
 1836	1	25	Lemaire Eugene
 1836	2	11	Meilhan Pierre
 1836	2	16	Dain Alphonse
 1836	2	18	Bello Jules
 1836	2	21	Delibes Leo
 1836	2	28	Thiebaud Jules
 1836	3	21	Dumons Jean
 1836	3	24	Baculard Louis
 1836	4	1	Douay Louis
 1836	4	4	Eyckermans Jean
 1836	4	15	Adriet Theobald
 1836	4	21	Molle Gustave
 1836	4	29	Charlot Alphonse
 1836	5	5	Vautrin Louis
 1836	5	7	Duclos Pierre
 1836	5	21	Coquet Bernard
 1836	5	29	Herete Alexis
 1836	6	22	Heid Charles
 1836	7	28	Elfrique Adolphe
 1836	8	19	Anthiome Eugene
 1836	8	28	Mouge Charles
 1836	10	13	Guillabert Eugene
 1836	10	21	Pourchez Victor
 1836	10	26	Baretty Henri
 1836	11	1	Lacoste Charles
 1836	11	7	Compere Jean
 1836	11	12	David Samuel
 1836	11	28	Leschevin Alexandre
 1836	12	1	Feningre Charles
 1837	1	14	Pinon Eugene
 1837	1	21	Viollet Claude
 1837	2	8	Hautecoeur Jacques
 1837	2	13	Rauski Joseph
 1837	2	17	Bernard Auguste
 1837	3	25	Letailleur Desire
 1837	4	1	Demarquette Cyrille
 1837	4	29	Peltier Theophile
 1837	5	29	Guerin Charles
 1837	6	7	Chauvet Charles
 1837	7	11	Lacombe Paul
 1837	8	6	Lapasset Cyprien
 1837	8	8	Sieg Charles
 1837	8	10	Neuberth Auguste
 1837	8	15	Marix-Israel Arthur
 1837	8	24	Dubois Theodore
 1837	8	24	Duteil Paul
 1837	9	18	Godemet Antoine
 1837	10	30	Berteu Joseph
 1837	10	30	Vilt Charles
 1837	11	1	Martin Pierre
 1837	12	5	Lalliet Casimir
 1837	12	23	Moser Francois
 1837	12	24	Girard Emile
 1838	1	21	Heblot Charles
 1838	2	13	Favre Jean
 1838	3	3	Lacome D'Estalenx Paul
 1838	3	5	Ribailler Gustave
 1838	3	8	Duseigneur Louis
 1838	3	26	Devos Paul
 1838	4	20	Godard Joseph
 1838	5	9	Sinet Gustave
 1838	5	20	Chiraux Pierre
 1838	7	27	Beaslas Jacques
 1838	7	29	Lasserre Jules
 1838	8	1	Carre Francois
 1838	8	4	Brule Edouard
 1838	8	18	Raimond Francois
 1838	8	20	Marchand Louis
 1838	8	31	Auge Camille
 1838	9	20	Josserand Jean
 1838	10	30	Bourdoncle Joseph
 1838	11	1	Leroy Jules
 1838	11	8	Bardey Auguste
 1838	11	17	Decalonne Jean
 1838	12	13	Castillon Alexis
 1838	12	15	Brunard Theobald
 1838	12	24	Boetsch Jacques
 1839	1	15	Kuhn Jean
 1839	1	22	Quignard Basile
 1839	1	27	Savoy Jean
 1839	1	29	Rabaud Hippolyte
 1839	2	10	Dufour Victor
 1839	3	2	Plante Francis
 1839	3	16	Huguenin Joseph
 1839	4	7	Stenosse Edmond
 1839	4	12	Joncieres Victorin
 1839	4	14	Delaunay Eugene
 1839	4	14	Vallois Auguste
 1839	4	28	Chabert Jean
 1839	4	30	Soutiran Jean
 1839	5	1	Leseigneur Jules
 1839	5	3	Gastaud Dominique
 1839	5	9	Eck Claude
 1839	5	11	Roger Ernest
 1839	5	23	Rustang Antoine
 1839	6	8	Renaud David
