# http://cura.free.fr/gauq/902gdE2b.html
# 6918 New Birth Data (PARIS 13). Series E, volume 2b
# Children born in the years 1923 to 1929
# Series E: Planetary Heredity. A Reappraisal on 50,000 subjects (Volume 2b)
# by Michel et Françoise GAUQUELIN
# [3rd CURA's edition, revised by Patrice Guinard : February 2009]
# La Pitié Hospital , 硝石庫慈善醫院

# Notice

# NUM : Number (from 1 to 6918)
# SEX : M = mother ; F = father ; D = daughter ; S = son
# PL : Place of Birth for children (HOS = La Pitié Hospital ; MAT = private Maternity ; H = Home)
# DAY : Day of birth
# MON : Month of birth
# YEA : Year of birth
# H : Hour of birth ; Birthtime is converted to standard time, either for zone 0 (= GMT) or -1 (= CET)
# MN : Minutes
# SEC : Seconds
# Ci : Ci code (see the Introduction), sometimes missing
# TZ : Time Zone at the place of birth and date of birth (0 or -1)
# LAT : Latitude of Birth place
# LON : Longitude of Birth place
# COD : Abbreviated Code of Birth place indicating the French "Département"
# (The Birth place is not mentioned)

# 0    1   2       3   4   5  6  7   8   9  10       11      12  13
#NUM	SEX	PL      DAY	MON	YEA	H	MN	SEC	Ci	TZ      LAT     LON	COD

72	F		17	11	1882	20	50	40		0	48N50	2E20	75
73	M		15	07	1891	10	50	40	02	0	48N50	2E20	75
74	S	H	26	06	1925	12	40	0	05	0	48N50	2E20	75
75	F		14	12	1882	15	50	40		0	48N50	2E20	75
76	M		10	04	1892	03	50	40	11	0	48N50	2E20	75
77	S	H	11	04	1928	11	0	0	01	0	48N50	2E20	75
78	F		21	02	1883	01	50	40		0	48N50	2E20	75
79	M		20	10	1887	05	50	40	0	0	48N50	2E20	75
80	S	HOS	23	09	1925	09	15	0	08	0	48N50	2E20	75
81	F		27	02	1883	22	50	40		0	48N50	2E20	75
82	M		29	04	1884	22	50	40	03	0	48N50	2E20	75
83	D	H	04	02	1924	23	0	0	02	0	48N50	2E20	75
84	F		28	02	1883	22	50	40		0	48N50	2E20	75
85	M		24	11	1893	08	50	40	07	0	48N50	2E20	75
86	S	H	22	02	1927	08	0	0	0	0	48N50	2E20	75
87	F		03	06	1883	07	50	40		0	48N50	2E20	75
88	M		30	12	1884	09	50	40	03	0	48N50	2E20	75
89	D	H	23	03	1929	08	0	0	06	0	48N50	2E20	75
90	S	H	28	02	1926	04	15	0	04	0	48N50	2E20	75
91	F		25	06	1883	09	50	40		0	48N50	2E20	75
92	M		06	10	1885	22	50	40	02	0	48N50	2E20	75
93	S	H	29	01	1923	16	0	0	11	0	48N50	2E20	75
94	D	H	09	12	1924	11	0	0	03	0	48N50	2E20	75
95	F		04	07	1883	12	50	40		0	48N50	2E20	75
96	M		16	09	1889	22	50	40	03	0	48N50	2E20	75
97	S	HOS	12	05	1925	18	30	0	0	0	48N50	2E20	75
98	F		14	07	1883	17	50	40		0	48N50	2E20	75
99	M		01	10	1893	17	50	40	08	0	48N50	2E20	75
100	S	H	08	12	1925	16	50	0	04	0	48N50	2E20	75
101	D	H	13	10	1928	02	0	0	09	0	48N50	2E20	75
102	F		22	08	1883	13	50	40		0	48N50	2E20	75
103	M		10	02	1890	08	50	40	02	0	48N50	2E20	75
104	D	H	15	06	1923	18	30	0	09	0	48N50	2E20	75
105	F		20	09	1883	05	50	40		0	48N50	2E20	75
106	M		12	02	1896	07	20	40	06	0	48N50	2E20	75
107	D	HOS	06	05	1923	02	20	0	02	0	48N50	2E20	75
108	D	HOS	23	08	1925	11	55	0	18	0	48N50	2E20	75
109	F		02	10	1883	12	50	40		0	48N50	2E20	75
110	M		24	05	1897	05	50	40	07	0	48N50	2E20	75
111	D	MAT	20	05	1928	10	30	0	04	0	48N50	2E20	75
112	F		01	11	1883	19	50	40		0	48N50	2E20	75
113	M		01	05	1898	01	50	40	11	0	48N50	2E20	75
114	S	H	15	02	1923	04	0	0	01	0	48N50	2E20	75
115	F		13	12	1883	10	50	40		0	48N50	2E20	75
116	M		05	02	1891	19	50	40	06	0	48N50	2E20	75
117	S	H	12	06	1925	11	30	0	03	0	48N50	2E20	75
118	S	H	08	09	1926	22	30	0	16	0	48N50	2E20	75
119	F		30	06	1884	03	50	40	05	0	48N50	2E20	75
120	M		05	02	1893	15	50	40	18	0	48N50	2E20	75
121	D	H	05	11	1924	10	15	0	0	0	48N50	2E20	75
122	S	H	22	06	1927	11	15	0	03	0	48N50	2E20	75
123	F		17	07	1884	07	50	40	01	0	48N50	2E20	75
124	M		17	09	1891	20	50	40	06	0	48N50	2E20	75
125	S	H	10	06	1924	06	0	0	20	0	48N50	2E20	75
126	F		07	08	1884	05	50	40	05	0	48N50	2E20	75
127	M		22	12	1890	0	50	40	10	0	48N50	2E20	75
128	D	H	30	01	1925	19	30	0	03	0	48N50	2E20	75
129	F		07	09	1884	06	50	40	05	0	48N50	2E20	75
130	M		13	08	1888	16	50	40	03	0	48N50	2E20	75
131	D	H	31	03	1923	06	30	0	04	0	48N50	2E20	75
132	F		28	09	1884	09	50	40	01	0	48N50	2E20	75
133	M		08	04	1891	09	50	40	18	0	48N50	2E20	75
134	D	H	06	03	1926	06	30	0	13	0	48N50	2E20	75
135	F		12	10	1884	03	50	40	0	0	48N50	2E20	75
136	M		16	01	1905	09	50	40	02	0	48N50	2E20	75
137	S	H	22	02	1926	05	0	0	09	0	48N50	2E20	75
138	F		09	11	1884	17	50	40	09	0	48N50	2E20	75
139	M		13	04	1889	01	50	40	04	0	48N50	2E20	75
140	D	H	27	10	1924	08	0	0	10	0	48N50	2E20	75
141	F		01	01	1885	20	50	40	02	0	48N50	2E20	75
142	M		04	07	1905	05	50	40	01	0	48N50	2E20	75
143	D	HOS	07	01	1928	04	15	0	04	0	48N50	2E20	75
144	F		16	01	1885	0	50	40	04	0	48N50	2E20	75
145	M		13	05	1887	14	50	40	11	0	48N50	2E20	75
146	S	H	01	01	1926	12	0	0	07	0	48N50	2E20	75
147	F		01	02	1885	20	50	40	01	0	48N50	2E20	75
148	M		30	09	1885	07	20	40	08	0	48N50	2E20	75
149	D	H	07	02	1923	12	30	0	08	0	48N50	2E20	75
150	F		09	02	1885	09	50	40	06	0	48N50	2E20	75
151	M		28	01	1892	0	50	40	08	0	48N50	2E20	75
152	D	H	28	07	1926	13	0	0	14	0	48N50	2E20	75
153	F		17	02	1885	06	50	40	09	0	48N50	2E20	75
154	M		29	02	1888	09	50	40	09	0	48N50	2E20	75
155	S	HOS	31	05	1926	17	10	0	0	0	48N50	2E20	75
156	F		05	04	1885	06	50	40	01	0	48N50	2E20	75
157	M		25	09	1885	18	50	40	01	0	48N50	2E20	75
158	D	HOS	14	12	1927	02	30	0	14	0	48N50	2E20	75
159	F		16	04	1885	21	50	40	10	0	48N50	2E20	75
160	M		22	09	1885	02	50	40	13	0	48N50	2E20	75
161	S	H	23	03	1926	20	30	0	04	0	48N50	2E20	75
162	S	H	25	06	1929	19	0	0	06	0	48N50	2E20	75
163	F		01	05	1885	13	50	40	0	0	48N50	2E20	75
164	M		26	01	1891	14	50	40	01	0	48N50	2E20	75
165	D	HOS	09	02	1927	21	15	0	15	0	48N50	2E20	75
166	F		24	05	1885	20	50	40	07	0	48N50	2E20	75
167	M		28	07	1900	12	50	40	05	0	48N50	2E20	75
168	S	H	20	01	1925	0	30	0	13	0	48N50	2E20	75
169	F		03	06	1885	15	50	40	08	0	48N50	2E20	75
170	M		02	12	1896	0	50	40	04	0	48N50	2E20	75
171	S	HOS	21	02	1926	05	40	0	08	0	48N50	2E20	75
172	F		06	06	1885	01	50	40	01	0	48N50	2E20	75
173	M		26	12	1898	21	50	40	01	0	48N50	2E20	75
174	S	MAT	13	03	1929	13	30	0	13	0	48N50	2E20	75
175	F		20	06	1885	04	50	40	16	0	48N50	2E20	75
176	M		22	08	1885	10	50	40	07	0	48N50	2E20	75
177	D	H	23	08	1923	18	0	0	02	0	48N50	2E20	75
178	F		14	07	1885	05	50	40	03	0	48N50	2E20	75
179	M		01	05	1896	01	50	40	06	0	48N50	2E20	75
180	S	H	18	03	1923	18	0	0	06	0	48N50	2E20	75
181	F		09	08	1885	01	50	40	04	0	48N50	2E20	75
182	M		14	11	1889	22	50	40	01	0	48N50	2E20	75
183	D	H	29	11	1925	22	45	0	0	0	48N50	2E20	75
184	F		14	08	1885	16	50	40	09	0	48N50	2E20	75
185	M		20	01	1889	01	50	40	14	0	48N50	2E20	75
186	D	H	05	10	1924	15	30	0	05	0	48N50	2E20	75
187	D	H	04	09	1928	04	30	0	04	0	48N50	2E20	75
188	F		22	09	1885	15	50	40	13	0	48N50	2E20	75
189	M		11	01	1889	19	50	40	08	0	48N50	2E20	75
190	S	H	13	09	1923	07	30	0	05	0	48N50	2E20	75
191	F		08	11	1885	03	50	40	09	0	48N50	2E20	75
192	M		18	08	1888	01	50	40	11	0	48N50	2E20	75
193	S	HOS	16	11	1923	12	45	0	03	0	48N50	2E20	75
194	F		18	02	1886	0	50	40	09	0	48N50	2E20	75
195	M		17	01	1889	20	50	40	01	0	48N50	2E20	75
196	S	H	28	06	1923	03	0	0	07	0	48N50	2E20	75
197	D	H	28	03	1929	01	15	0	07	0	48N50	2E20	75
198	F		17	05	1886	05	50	40	07	0	48N50	2E20	75
199	M		10	08	1894	07	50	40	06	0	48N50	2E20	75
200	S	H	11	01	1926	05	0	0	07	0	48N50	2E20	75
201	F		03	06	1886	20	50	40	19	0	48N50	2E20	75
202	M		03	11	1888	02	50	40	01	0	48N50	2E20	75
203	S	MAT	08	10	1923	13	0	0	05	0	48N50	2E20	75
204	F		07	07	1886	06	50	40	0	0	48N50	2E20	75
205	M		23	05	1894	12	50	40	08	0	48N50	2E20	75
206	S	H	14	11	1923	14	0	0	02	0	48N50	2E20	75
207	F		25	08	1886	04	50	40	07	0	48N50	2E20	75
208	M		08	05	1891	08	50	40	07	0	48N50	2E20	75
209	D	H	28	10	1923	02	0	0	02	0	48N50	2E20	75
210	F		02	09	1886	05	50	40	02	0	48N50	2E20	75
211	M		21	01	1896	0	50	40	08	0	48N50	2E20	75
212	S	H	09	01	1923	23	0	0	03	0	48N50	2E20	75
213	F		02	10	1886	21	50	40	07	0	48N50	2E20	75
214	M		08	01	1887	22	50	40	03	0	48N50	2E20	75
215	D	H	24	03	1924	19	0	0	03	0	48N50	2E20	75
216	F		26	11	1886	12	50	40	05	0	48N50	2E20	75
217	M		27	03	1888	03	50	40	02	0	48N50	2E20	75
218	D	H	07	04	1923	08	45	0	03	0	48N50	2E20	75
219	F		18	12	1886	07	50	40	08	0	48N50	2E20	75
220	M		28	02	1891	02	50	40	02	0	48N50	2E20	75
221	D	H	10	01	1927	07	0	0	01	0	48N50	2E20	75
222	F		19	12	1886	05	50	40	07	0	48N50	2E20	75
223	M		05	02	1887	10	50	40	09	0	48N50	2E20	75
224	S	H	28	09	1924	09	0	0	08	0	48N50	2E20	75
225	D	H	16	02	1926	19	0	0	03	0	48N50	2E20	75
226	S	H	04	02	1928	07	0	0	07	0	48N50	2E20	75
227	F		19	01	1887	22	50	40	09	0	48N50	2E20	75
228	M		23	07	1897	06	50	40	06	0	48N50	2E20	75
229	S	H	24	12	1926	02	10	0	09	0	48N50	2E20	75
230	F		13	02	1887	0	50	40	15	0	48N50	2E20	75
231	M		30	09	1894	15	50	40	10	0	48N50	2E20	75
232	S	MAT	19	03	1923	09	0	0	04	0	48N50	2E20	75
233	S	MAT	11	11	1928	01	0	0	12	0	48N50	2E20	75
234	F		17	02	1887	03	50	40	05	0	48N50	2E20	75
235	M		27	05	1887	09	50	40	09	0	48N50	2E20	75
236	D	H	20	07	1923	21	15	0	03	0	48N50	2E20	75
237	D	H	25	08	1925	04	30	0	07	0	48N50	2E20	75
238	F		20	02	1887	08	50	40	13	0	48N50	2E20	75
239	M		26	04	1882	05	50	40		0	48N50	2E20	75
240	S	H	05	02	1923	11	30	0	02	0	48N50	2E20	75
241	D	H	03	12	1924	12	30	0	02	0	48N50	2E20	75
242	F		15	03	1887	07	50	40	12	0	48N50	2E20	75
243	M		21	01	1893	15	50	40	14	0	48N50	2E20	75
244	S	H	06	08	1924	16	0	0	08	0	48N50	2E20	75
245	F		30	04	1887	04	50	40	05	0	48N50	2E20	75
246	M		04	11	1893	14	50	40	08	0	48N50	2E20	75
247	S	MAT	27	02	1923	01	0	0	17	0	48N50	2E20	75
248	F		04	06	1887	10	50	40	02	0	48N50	2E20	75
249	M		11	07	1899	23	20	40	09	0	48N50	2E20	75
250	S	H	23	11	1926	17	30	0	07	0	48N50	2E20	75
251	F		21	07	1887	04	50	40	05	0	48N50	2E20	75
252	M		31	10	1893	09	50	40	08	0	48N50	2E20	75
253	S	H	16	06	1923	23	15	0	01	0	48N50	2E20	75
254	F		23	07	1887	23	50	40	01	0	48N50	2E20	75
255	M		09	07	1890	16	50	40	04	0	48N50	2E20	75
256	S	MAT	01	02	1926	19	30	0	07	0	48N50	2E20	75
257	F		11	08	1887	06	50	40	0	0	48N50	2E20	75
258	M		10	06	1892	0	50	40	05	0	48N50	2E20	75
259	D	HOS	16	05	1926	03	40	0	03	0	48N50	2E20	75
260	F		22	08	1887	11	50	40	02	0	48N50	2E20	75
261	M		16	04	1894	0	50	40	04	0	48N50	2E20	75
262	S	H	27	07	1926	19	0	0	10	0	48N50	2E20	75
263	F		26	08	1887	15	50	40	03	0	48N50	2E20	75
264	M		23	07	1894	09	50	40	06	0	48N50	2E20	75
265	S	MAT	23	01	1929	15	0	0	0	0	48N50	2E20	75
266	F		27	08	1887	12	50	40	02	0	48N50	2E20	75
267	M		01	07	1894	06	50	40	09	0	48N50	2E20	75
268	D	HOS	28	05	1927	04	05	0	12	0	48N50	2E20	75
269	F		07	11	1887	10	50	40	01	0	48N50	2E20	75
270	M		09	09	1893	12	50	40	05	0	48N50	2E20	75
271	D	H	29	11	1924	11	15	0	05	0	48N50	2E20	75
272	F		14	12	1887	17	50	40	03	0	48N50	2E20	75
273	M		24	06	1897	07	50	40	03	0	48N50	2E20	75
274	D	H	03	06	1928	0	0	0	07	0	48N50	2E20	75
275	F		22	01	1888	17	50	40	08	0	48N50	2E20	75
276	M		14	07	1908	22	50	40	03	0	48N50	2E20	75
277	D	H	15	08	1926	06	30	0	07	0	48N50	2E20	75
278	F		05	02	1888	17	50	40	09	0	48N50	2E20	75
279	M		16	12	1895	08	50	40	02	0	48N50	2E20	75
280	S	HOS	12	12	1924	07	35	0	14	0	48N50	2E20	75
281	S	HOS	01	10	1929	15	0	0	02	0	48N50	2E20	75
282	F		10	02	1888	01	50	40	10	0	48N50	2E20	75
283	M		19	07	1888	12	50	40	04	0	48N50	2E20	75
284	D	H	23	07	1923	12	30	0	11	0	48N50	2E20	75
285	F		27	02	1888	14	50	40	01	0	48N50	2E20	75
286	M		05	12	1891	19	50	40	03	0	48N50	2E20	75
287	D	MAT	27	09	1929	08	0	0	11	0	48N50	2E20	75
288	F		06	03	1888	07	50	40	0	0	48N50	2E20	75
289	M		29	09	1899	22	50	40	10	0	48N50	2E20	75
290	S	H	18	05	1928	19	0	0	10	0	48N50	2E20	75
291	F		20	03	1888	11	50	40	05	0	48N50	2E20	75
