# http://cura.free.fr/gauq/902gdE2e.html
# 11370 New Birth Data (PARIS 15). Series E, volume 2e
# Children born in the years 1923 to 1929 and 1933 to 1935 (Unpublished Data)
# Series E: Planetary Heredity. A Reappraisal on 50,000 subjects (Volume 2e)
# by Michel et Françoise GAUQUELIN
# [3rd CURA's edition, revised by Patrice Guinard : February 2009]
# 沒有醫院資料 , 地點都在巴黎

# Notice , 8224沒有NUM ,手動補上

# NUM : Number : from 1 to 11371 (n. 8870 doesn't exist)
# SEX : M = mother ; F = father ; D = daughter ; S = son
# 沒有 PL (出生地點) !
# DAY : Day of birth
# MON : Month of birth
# YEA : Year of birth
# H : Hour of birth ; Birthtime is converted to standard time, either for zone 0 (= GMT) or -1 (= CET)
# MN : Minutes
# SEC : Seconds
# Ci : Ci code (see the Introduction), sometimes missing
# TZ : Time Zone at the place of birth and date of birth (0 or -1)
# LAT : Latitude of Birth place
# LON : Longitude of Birth place
# COD : Abbreviated Code of Birth place indicating the French "Département"
# (The Birth place is not mentioned)

# 0    1   2   3   4  5  6   7   8   9       10      11  12
# NUM	SEX	DAY	MON	YEA	H	MN	SEC	Ci	TZ      LAT     LON	COD

73	F	28	01	1880	07	50	40		0	48N50	2E20	75
74	M	12	04	1894	0	50	40	09	0	48N50	2E20	75
75	S	26	08	1927	16	50	0	0	0	48N50	2E20	75
76	F	10	03	1880	10	50	40		0	48N50	2E20	75
77	M	24	08	1898	09	20	40	03	0	48N50	2E20	75
78	D	31	05	1933	10	0	0	12	0	48N50	2E20	75
79	F	29	07	1880	11	50	40		0	48N50	2E20	75
80	M	14	11	1891	02	50	40	09	0	48N50	2E20	75
81	S	31	12	1926	19	40	0	07	0	48N50	2E20	75
82	F	07	12	1880	0	50	40		0	48N50	2E20	75
83	M	30	09	1886	02	50	40	12	0	48N50	2E20	75
84	D	26	06	1924	09	30	0	03	0	48N50	2E20	75
85	F	13	12	1880	21	50	40		0	48N50	2E20	75
86	M	10	03	1885	19	50	40	01	0	48N50	2E20	75
87	D	27	07	1927	09	30	0	08	0	48N50	2E20	75
88	F	24	05	1881	22	50	40		0	48N50	2E20	75
89	M	02	08	1898	03	50	40	08	0	48N50	2E20	75
90	D	10	06	1925	0	10	0	03	0	48N50	2E20	75
91	F	02	09	1881	17	50	40		0	48N50	2E20	75
92	M	19	07	1885	04	50	40	07	0	48N50	2E20	75
93	S	19	06	1923	0	15	0	03	0	48N50	2E20	75
94	F	29	09	1881	01	50	40	69	0	48N50	2E20	75
95	M	21	08	1885	16	50	40	11	0	48N50	2E20	75
96	D	20	08	1926	23	50	0	01	0	48N50	2E20	75
97	F	21	10	1881	23	20	40		0	48N50	2E20	75
98	M	19	02	1899	09	50	40	08	0	48N50	2E20	75
99	S	14	03	1934	07	30	0	01	0	48N50	2E20	75
100	F	11	01	1882	07	50	40		0	48N50	2E20	75
101	M	31	01	1889	18	50	40	01	0	48N50	2E20	75
102	S	18	02	1925	03	30	0	03	0	48N50	2E20	75
103	F	24	01	1882	17	50	40		0	48N50	2E20	75
104	M	28	01	1901	09	50	40	04	0	48N50	2E20	75
105	D	03	10	1924	09	30	0	01	0	48N50	2E20	75
106	D	28	01	1926	02	20	0	09	0	48N50	2E20	75
107	D	21	11	1929	06	20	0	07	0	48N50	2E20	75
108	F	24	02	1882	19	50	40		0	48N50	2E20	75
109	M	01	06	1891	07	50	40	02	0	48N50	2E20	75
110	D	27	05	1923	22	45	0	03	0	48N50	2E20	75
111	F	28	02	1882	02	50	40		0	48N50	2E20	75
112	M	03	05	1895	19	50	40	08	0	48N50	2E20	75
113	S	24	12	1924	10	0	0	04	0	48N50	2E20	75
114	S	10	11	1925	07	0	0	15	0	48N50	2E20	75
115	F	18	03	1882	04	50	40		0	48N50	2E20	75
116	M	11	04	1891	15	05	40	10	0	48N50	2E20	75
117	D	27	04	1926	17	0	0	05	0	48N50	2E20	75
118	D	28	01	1928	12	05	0	11	0	48N50	2E20	75
119	F	25	04	1882	03	50	40		0	48N50	2E20	75
120	M	26	07	1887	12	20	40	0	0	48N50	2E20	75
121	D	26	10	1923	12	0	0	04	0	48N50	2E20	75
122	F	27	08	1882	02	50	40		0	48N50	2E20	75
123	M	07	04	1894	17	05	40	11	0	48N50	2E20	75
124	D	27	07	1923	14	0	0	06	0	48N50	2E20	75
125	F	16	11	1882	10	50	40		0	48N50	2E20	75
126	M	06	05	1905	14	50	40	01	0	48N50	2E20	75
127	D	22	03	1935	08	10	0	06	0	48N50	2E20	75
128	F	05	12	1882	17	50	40		0	48N50	2E20	75
129	M	18	08	1889	11	50	40	01	0	48N50	2E20	75
130	D	12	05	1926	18	10	0	10	0	48N50	2E20	75
131	F	20	01	1883	21	50	40		0	48N50	2E20	75
132	M	04	11	1885	21	50	40	01	0	48N50	2E20	75
133	S	14	07	1923	08	20	0	0	0	48N50	2E20	75
134	F	02	05	1883	04	50	40	80	0	48N50	2E20	75
135	M	10	11	1896	12	50	40	11	0	48N50	2E20	75
136	D	05	04	1924	06	0	0	01	0	48N50	2E20	75
137	F	04	05	1883	0	50	40	87	0	48N50	2E20	75
138	M	17	12	1887	06	50	40	14	0	48N50	2E20	75
139	D	16	02	1925	15	0	0	06	0	48N50	2E20	75
140	F	20	05	1883	14	50	40		0	48N50	2E20	75
141	M	10	11	1890	15	50	40	08	0	48N50	2E20	75
142	D	19	06	1923	16	45	0	03	0	48N50	2E20	75
143	F	21	05	1883	01	50	40		0	48N50	2E20	75
144	M	11	03	1888	21	20	40	06	0	48N50	2E20	75
145	D	15	07	1926	01	0	0	03	0	48N50	2E20	75
146	F	10	07	1883	20	50	40		0	48N50	2E20	75
147	M	14	07	1885	23	20	40	03	0	48N50	2E20	75
148	D	13	09	1923	07	0	0	05	0	48N50	2E20	75
149	F	15	07	1883	19	50	40		0	48N50	2E20	75
150	M	06	03	1895	11	50	40	12	0	48N50	2E20	75
151	D	23	10	1925	06	0	0	19	0	48N50	2E20	75
152	F	15	10	1883	14	50	40		0	48N50	2E20	75
153	M	02	12	1891	03	20	40	03	0	48N50	2E20	75
154	D	29	06	1923	20	30	0	02	0	48N50	2E20	75
155	F	30	10	1883	12	50	40		0	48N50	2E20	75
156	M	01	08	1884	12	50	40	03	0	48N50	2E20	75
157	S	17	01	1923	09	50	0	03	0	48N50	2E20	75
158	F	24	11	1883	0	50	40		0	48N50	2E20	75
159	M	18	06	1894	08	50	40	09	0	48N50	2E20	75
160	D	14	01	1929	16	0	0	11	0	48N50	2E20	75
161	F	15	12	1883	23	35	40		0	48N50	2E20	75
162	M	07	12	1893	04	50	40	01	0	48N50	2E20	75
163	D	30	06	1924	21	30	0	07	0	48N50	2E20	75
164	F	25	12	1883	0	50	40		0	48N50	2E20	75
165	M	05	04	1895	03	50	40	12	0	48N50	2E20	75
166	S	25	03	1924	16	10	0	04	0	48N50	2E20	75
167	D	26	02	1926	09	0	0	10	0	48N50	2E20	75
168	F	02	01	1884	18	50	40	01	0	48N50	2E20	75
169	M	25	04	1887	08	50	40	11	0	48N50	2E20	75
170	D	30	07	1924	02	35	0	0	0	48N50	2E20	75
171	F	08	02	1884	12	55	0	08	0	45N50	1E15	87
172	M	09	12	1888	15	50	40	07	0	48N50	2E20	75
173	S	26	01	1923	04	45	0	02	0	48N50	2E20	75
174	F	06	04	1884	14	50	40	03	0	48N50	2E20	75
175	M	26	06	1887	20	50	40	01	0	48N50	2E20	75
176	S	19	02	1925	14	30	0	07	0	48N50	2E20	75
177	F	11	04	1884	10	50	40	14	0	48N50	2E20	75
178	M	30	01	1882	0	50	40	72	0	48N50	2E20	75
179	S	28	03	1923	10	15	0	08	0	48N50	2E20	75
180	S	26	01	1925	22	0	0	01	0	48N50	2E20	75
181	F	16	04	1884	13	50	40	09	0	48N50	2E20	75
182	M	16	05	1896	06	10	40	07	0	48N50	2E20	75
183	S	30	01	1923	18	30	0	09	0	48N50	2E20	75
184	F	26	06	1884	19	50	40	0	0	48N50	2E20	75
