# http://cura.free.fr/gauq/902gdE2c.html
# 13109 New Birth Data (PARIS 14). Series E, volume 2c
# Children born in the years 1923, 1924 and 1929 in Port-Royal Maternity (Unpublished Data)
# Series E: Planetary Heredity. A Reappraisal on 50,000 subjects (Volume 2c)
# by Michel et Françoise GAUQUELIN
# [3rd CURA's edition, revised by Patrice Guinard : February 2009]
# Port-Royal Maternity 皇家港婦產醫院

# Notice #5822 出現 Feb/31 , 移除 , 原始檔案 #8224無NUM , 手動填上

# NUM : Number (from 1 to 13116)
# SEX : M = mother ; F = father ; D = daughter ; S = son
# 沒有 PL (出生地點) !
# DAY : Day of birth
# MON : Month of birth
# YEA : Year of birth
# H : Hour of birth ; Birthtime is converted to standard time, either for zone 0 (= GMT) or -1 (= CET)
# MN : Minutes
# SEC : Seconds
# Ci : Ci code (see the Introduction), sometimes missing
# TZ : Time Zone at the place of birth and date of birth (0 or -1)
# LAT : Latitude of Birth place
# LON : Longitude of Birth place
# COD : Abbreviated Code of Birth place indicating the French "Département"
# (The Birth place is not mentioned)

# 0    1   2   3   4  5  6   7   8   9       10      11  12
#NUM	SEX	DAY	MON	YEA	H	MN	SEC	Ci	TZ      LAT     LON	COD

73	F	11	12	1873	12	46	0		0	44N31	3E30	48
74	M	31	03	1886	17	40	40	20	0	43N57	4E50	84
75	S	03	06	1923	10	30	0	05	0	48N50	2E20	75
76	F	04	03	1874	22	50	40		0	48N50	2E20	75
77	M	12	01	1885	03	40	40	07	0	46N18	4E50	71
78	S	13	04	1929	01	0	0	03	0	48N50	2E20	75
79	F	30	06	1874	04	16	24		0	48N 0	4W06	29
80	M	27	06	1878	10	16	24		0	48N 0	4W06	29
81	D	05	02	1923	04	30	0	02	0	48N50	2E20	75
82	F	24	09	1874	20	50	40		0	48N50	2E20	75
83	M	18	05	1881	05	35	52		0	47N15	6E02	25
84	S	31	01	1923	23	15	0	06	0	48N50	2E20	75
85	F	13	10	1874	05	50	40		0	48N50	2E20	75
86	M	14	03	1900	10	50	40	10	0	48N50	2E20	75
87	S	17	06	1929	14	30	0	03	0	48N50	2E20	75
88	F	08	12	1874	01	47	40		0	45N47	3E05	63
89	M	24	06	1885	10	58	40	02	0	48N50	2E20	75
90	S	30	04	1923	06	40	0	02	0	48N50	2E20	75
91	F	27	01	1875	02	55	0		0	45N50	1E15	87
92	M	21	09	1882	15	55	0		0	45N50	1E15	87
93	D	15	04	1923	06	10	0	03	0	48N50	2E20	75
94	F	07	07	1875	02	02	16		0	44N50	0W34	33
95	M	02	12	1884	04	06	40	02	0	48N07	1W40	35
96	S	14	04	1923	09	15	0	08	0	48N50	2E20	75
97	F	29	08	1875	15	50	40		0	48N50	2E20	75
98	M	23	08	1878	09	50	40		0	48N50	2E20	75
99	S	07	03	1923	09	35	0	06	0	48N50	2E20	75
100	F	13	09	1875	22	29	0		-1	48N35	7E45	67
101	M	30	12	1883	0	39	20		0	48N46	5E10	55
102	D	30	10	1923	15	45	0	0	0	48N50	2E20	75
103	F	14	09	1875	07	50	28		0	47N05	2E23	18
104	M	07	01	1890	17	39	28	04	0	48N07	5E08	52
105	D	14	01	1923	05	40	0	07	0	48N50	2E20	75
106	F	30	09	1875	08	04	20		0	49N07	1W05	50
107	M	05	04	1891	13	50	40	04	0	48N50	2E20	75
108	S	08	05	1924	03	35	0	03	0	48N50	2E20	75
109	F	17	10	1875	11	35	52		0	47N15	6E02	25
110	M	23	10	1893	22	50	40	04	0	47N13	1W35	44
111	S	19	03	1929	22	55	0	06	0	48N50	2E20	75
112	F	30	11	1875	01	35	24		0	47N37	6E09	70
113	M	03	05	1884	01	34	08	01	0	48N10	6E28	88
114	D	17	04	1924	08	40	0	07	0	48N50	2E20	75
115	F	08	12	1875	07	50	40		0	48N50	2E20	75
116	M	08	10	1891	21	50	40	12	0	46N34	3E20	03
117	S	13	04	1924	02	25	0	0	0	48N50	2E20	75
118	F	22	12	1875	19	58	40		0	46N35	0E20	86
119	M	25	01	1886	15	13	40	01	0	46N35	0E20	86
120	D	26	02	1924	02	45	0	08	0	48N50	2E20	75
121	F	20	03	1876	11	11	0		0	48N31	2W45	22
122	M	28	02	1881	07	06	20		0	47N13	1W35	44
123	D	13	05	1924	09	25	0	05	0	48N50	2E20	75
124	F	13	08	1876	18	52	56		0	45N16	1E46	19
125	M	23	06	1887	17	50	28	09	0	47N05	2E23	18
126	D	28	12	1923	16	35	0	09	0	48N50	2E20	75
127	F	29	08	1876	02	57	28		0	44N12	0E38	47
128	M	23	07	1888	14	57	28	10	0	44N12	0E38	47
129	S	11	05	1924	22	0	0	03	0	48N50	2E20	75
130	F	29	09	1876	0	51	28		0	48N50	2E08	78
131	M	21	02	1901	01	50	40	03	0	48N50	2E08	78
132	S	02	03	1923	07	30	0	03	0	48N50	2E20	75
133	F	02	11	1876	07	42	32		0	48N57	4E22	51
134	M	29	04	1888	05	51	28	06	0	48N50	2E08	78
135	S	23	08	1929	05	50	0	01	0	48N50	2E20	75
136	F	13	11	1876	02	01	28		0	49N11	0W22	14
137	M	07	06	1882	11	20	40		0	48N50	2E20	75
138	S	17	06	1923	22	25	0	01	0	48N50	2E20	75
139	F	26	01	1877	03	57	12		0	47N24	0E42	37
140	M	17	12	1888	21	50	40	05	0	48N50	2E20	75
141	S	11	12	1923	06	15	0	02	0	48N50	2E20	75
142	F	30	03	1877	06	49	20		0	48N33	2E40	77
143	M	15	02	1886	17	50	40	03	0	48N50	2E20	75
144	D	09	08	1923	02	0	0	03	0	48N50	2E20	75
145	F	21	04	1877	04	50	40		0	48N50	2E20	75
146	M	22	05	1894	18	50	40	11	0	48N46	5E10	55
147	S	15	09	1923	16	55	0	03	0	48N50	2E20	75
148	F	22	06	1877	10	55	40		0	49N26	1E05	76
