# YEA	MON	DAY	NAME

 1816	1	21	Guignet Jean
 1816	2	4	Chevrier Jules
 1816	2	23	Rousseau Philippe
 1816	5	24	Feragu Auguste
 1816	6	18	Dupre Leon
 1816	6	23	Baron Henri
 1816	7	12	Drouyn Francois
 1816	8	12	Balfourier Adolphe
 1816	9	26	Schmitt Franz
 1816	11	21	Beranger Charles
 1817	1	13	Michel Charles
 1817	1	26	Lafond Jacques
 1817	1	30	Yvon Adolphe
 1817	2	18	Bosboom Johannes
 1817	2	27	Robert Alexandre
 1817	3	7	Antigna Alexandre
 1817	3	17	Gendran Ernest
 1817	4	16	Desjobert Louis
 1817	4	18	Battaille Eugene
 1817	4	22	Brillouin Louis
 1817	4	29	Pellet Joseph
 1817	5	20	Verdier Marcel
 1817	6	25	Hurtrel Arsene
 1817	7	5	Lazerges Jean
 1817	7	14	Grenier Claude
 1817	7	29	Plassan Antoine
 1817	8	23	Moullin Louis
 1817	9	2	Staal Gustave
 1817	9	24	Saint-Martin Paul
 1817	11	3	Hebert Antoine
 1817	11	20	Clays Emile
 1817	11	22	Blanc Celestin
 1817	11	22	Bonvin Francois
 1817	12	19	Pron Louis
 1818	4	3	Berthelemy Pierre
 1818	4	17	Faivre Louis
 1818	4	30	Portaels Jean
 1818	5	17	Billardet Leon
 1818	5	30	Haffner Felix
 1818	6	7	Peters Pieters
 1818	6	12	Deligne Adolphe
 1818	6	16	Palizzi Filippo
 1818	8	24	Herbelin Jeanne
 1818	9	19	Richomme Jules
 1818	9	25	Colas Alphonse
 1818	10	28	Devilly Louis
 1818	11	2	Pastelot Jean
 1819	1	1	Jalabert Charles
 1819	1	17	Giraud Sebastien
 1819	1	27	Crauk Charles
 1819	2	18	Valerio Theodore
 1819	2	23	Aiguier Louis
 1819	3	17	Masure Jules
 1819	3	31	Dubufe Edouard
 1819	6	1	Faller Louis
 1819	6	3	Jongkind Johan
 1819	6	10	Courbet Gustave
 1819	8	15	Woutermaertens Edouard
 1819	9	11	Berchere Narcisse
 1819	10	2	Lefortier Henri
 1819	10	5	Pequegnot Auguste
 1819	11	8	Navlet Victor
 1819	12	2	Rahoult Charles
 1819	12	12	Lenepveu Jules
 1820	2	20	Hellouin Xenophon
 1820	4	3	Gluck Louis
 1820	4	17	Oudinot Achille
 1820	4	29	Leray Prudent
 1820	5	2	Keelhoff Frans
 1820	5	9	Negre Charles
 1820	5	28	Ronot Charles
 1820	5	28	Slingeneyer Ernst
 1820	6	17	Froment-Delormel Jacques
 1820	6	26	Pinta Amable
 1820	7	8	Devedeux Louis
 1820	7	16	Hedouin Pierre
 1820	9	7	Curzon Paul
 1820	10	4	Musin Francois
 1820	10	24	Fromentin Eugene
 1820	11	29	Lavielle Eugene
 1820	12	23	Imer Edouard
 1820	12	27	Deyrieux Georges
 1821	1	5	Caraud Joseph
 1821	1	6	Fanti Erminio
 1821	1	20	Morain Pierre
 1821	2	9	Delbeke Louis
 1821	2	11	Navlet Joseph
 1821	2	26	Dubourg Louis
 1821	3	15	Besson Faustin
 1821	3	26	Foullongne Alfred
 1821	3	30	Benouville Francois
 1821	4	16	Brown Ford
 1821	6	2	Landelle Charles
 1821	6	18	Schuler Jules
 1821	7	14	Debar Alexandre
 1821	7	17	Jobe-Duval Felix
