# 新版 http://cura.free.fr/gauq/902gdA6.html
# 舊版 http://cura.free.fr/gauq/11gdA6.txt
# Writer 作家 , 1352位

# 有 name , list size = 1285
# 無 name , list size =   67

# PRO	NUM	COU	DAY	MON	YEA	H	MN	SEC	TZ	LAT	LON	COD	CITY	

W	79	F	19	3	1932	15	0	0	0	47N40	2W44	56	JOSSELIN
W	80	F	19	3	1866	17	18	0	0	48N 4	0W45	53	LAVAL
W	81	F	5	9	1894	16	50	40	0	44N31	3E30	48	SAINT-CHELY-D'A
W	82	F	20	3	1899	14	50	40	0	48N50	2E11	92	NEUILLY
W	83	F	7	8	1859	7	29	0	0	48N35	7E45	67	STRASBOURG
W	84	F	16	7	1886	6	51	28	0	43N55	2E 8	81	ALBI
W	85	F	13	3	1801	21	55	40	0	49N26	1E 5	76	ROUEN
W	86	F	21	9	1885	13	40	40	0	45N46	4E50	69	LYON
W	87	F	16	9	1915	18	30	0	0	45N39	0E10	16	MAGNAC-S/TOUVRE
W	88	F	2	8	1892	6	50	40	0	48N50	2E 8	78	LE VESINET
W	89	F	20	2	1888	8	50	40	0	48N50	2E20	75	PARIS
W	90	F	25	2	1804	18	35	52	0	47N15	6E 2	25	BESANCON
W	91	F	30	7	1888	1	52	0	0	49N 0	2E 0	95	ENGHIEN-LES-BAINS
W	92	F	4	12	1881	14	10	24	0	44N56	4E54	26	VALENCE
W	93	F	6	9	1900	10	50	40	0	43N51	4E21	30	NIMES
W	94	F	7	9	1866	21	35	52	0	47N15	6E 2	25	BESANCON
W	95	F	10	2	1860	9	38	32	0	43N18	5E22	13	MARSEILLE
W	96	F	7	9	1899	16	50	40	0	43N57	4E50	84	L'ISLE-S/SORGUE
W	97	F	20	6	1876	1	50	40	0	48N50	2E20	75	PARIS
W	98	F	1	8	1902	11	50	40	0	44N50	0W34	33	BORDEAUX
W	99	F	28	3	1877	13	50	28	0	47N 5	2E23	18	BOURGES
W	100	F	25	3	1866	18	39	20	0	48N46	5E10	55	SPINCOURT
W	101	F	18	1	1915	7	0	0	0	49N11	0W22	14	BAYEUX
W	102	F	13	12	1882	5	45	32	0	49N34	3E37	02	ST-QUENTIN
W	103	F	13	5	1922	3	0	0	0	48N42	6E12	54	LUNEVILLE
W	104	F	9	4	1848	11	59	40	0	48N26	0E 5	61	BRIOUZE
W	105	F	7	4	1890	9	50	48	0	49N54	2E18	80	MONTDIDIER
W	106	F	22	9	1907	1	50	40	0	46N18	4E50	71	DEVROUZE
W	107	F	28	9	1909	23	50	40	0	49N34	3E37	02	NOUVION-EN-THIE
W	108	F	8	2	1805	0	30	56	0	43N42	7E16	06	PUGET-THENIERS
W	109	F	6	7	1886	15	40	40	0	45N46	4E50	69	LYON
W	110	F	2	11	1861	10	9	52	0	47N19	5E 2	21	DIJON
W	111	F	11	7	1846	19	35	52	0	47N15	6E 2	25	PERIGUEUX
W	112	F	11	8	1876	6	47	40	0	50N39	3E 5	59	MARQUILLIES
W	113	F	15	8	1823	23	12	36	0	43N51	4E21	30	NIMES
W	114	F	5	5	1884	15	30	56	0	43N42	7E16	06	SAINT-MARTIN-VE
W	115	F	19	12	1883	2	58	40	0	46N35	0E20	86	POITIERS
W	116	F	24	6	1923	2	0	0	0	47N24	0E42	37	TOURS
W	117	F	25	1	1870	5	35	32	0	45N54	6E 7	74	THONON-LES-BAIN
W	118	F	5	3	1923	22	50	0	0	47N35	1E20	41	BLOIS
W	119	F	25	5	1920	22	15	0	0	49N 0	2E 0	95	ENGHIEN-LES-BAINS
W	120	F	29	6	1809	18	40	40	0	45N46	4E50	69	LYON
